data;

param n := 20;

set A :=
    (1, 3)
    (3, 1)
    (1, 4)
    (4, 1)
    (1, 5)
    (5, 1)
    (3, 9)
    (9, 3)
    (3, 10)
    (10, 3)
    (4, 11)
    (11, 4)
    (4, 13)
    (13, 4)
    (5, 12)
    (12, 5)
    (5, 14)
    (14, 5)
    (2, 6)
    (6, 2)
    (2, 7)
    (7, 2)
    (2, 8)
    (8, 2)
    (6, 15)
    (15, 6)
    (6, 16)
    (16, 6)
    (7, 17)
    (17, 7)
    (7, 19)
    (19, 7)
    (8, 18)
    (18, 8)
    (8, 20)
    (20, 8)
    (9, 11)
    (11, 9)
    (9, 18)
    (18, 9)
    (10, 12)
    (12, 10)
    (10, 17)
    (17, 10)
    (11, 20)
    (20, 11)
    (13, 14)
    (14, 13)
    (13, 15)
    (15, 13)
    (12, 19)
    (19, 12)
    (14, 16)
    (16, 14)
    (15, 20)
    (20, 15)
    (16, 19)
    (19, 16)
    (17, 18)
    (18, 17);

set C :=
    (1, 3, 25)
    (3, 1, 25)
    (1, 4, 4)
    (4, 1, 4)
    (1, 5, 36)
    (5, 1, 36)
    (3, 9, 57)
    (9, 3, 57)
    (3, 10, 63)
    (10, 3, 63)
    (4, 11, 31)
    (11, 4, 31)
    (4, 13, 78)
    (13, 4, 78)
    (5, 12, 69)
    (12, 5, 69)
    (5, 14, 82)
    (14, 5, 82)
    (2, 6, 65)
    (6, 2, 65)
    (2, 7, 74)
    (7, 2, 74)
    (2, 8, 66)
    (8, 2, 66)
    (6, 15, 38)
    (15, 6, 38)
    (6, 16, 47)
    (16, 6, 47)
    (7, 17, 61)
    (17, 7, 61)
    (7, 19, 48)
    (19, 7, 48)
    (8, 18, 36)
    (18, 8, 36)
    (8, 20, 41)
    (20, 8, 41)
    (9, 11, 97)
    (11, 9, 97)
    (9, 18, 73)
    (18, 9, 73)
    (10, 12, 42)
    (12, 10, 42)
    (10, 17, 63)
    (17, 10, 63)
    (11, 20, 98)
    (20, 11, 98)
    (13, 14, 12)
    (14, 13, 12)
    (13, 15, 48)
    (15, 13, 48)
    (12, 19, 28)
    (19, 12, 28)
    (14, 16, 63)
    (16, 14, 63)
    (15, 20, 81)
    (20, 15, 81)
    (16, 19, 46)
    (19, 16, 46)
    (17, 18, 33)
    (18, 17, 33);

set T :=
    (1, 3, 34)
    (3, 1, 34)
    (1, 4, 89)
    (4, 1, 89)
    (1, 5, 47)
    (5, 1, 47)
    (3, 9, 44)
    (9, 3, 44)
    (3, 10, 12)
    (10, 3, 12)
    (4, 11, 20)
    (11, 4, 20)
    (4, 13, 12)
    (13, 4, 12)
    (5, 12, 21)
    (12, 5, 21)
    (5, 14, 10)
    (14, 5, 10)
    (2, 6, 25)
    (6, 2, 25)
    (2, 7, 3)
    (7, 2, 3)
    (2, 8, 20)
    (8, 2, 20)
    (6, 15, 63)
    (15, 6, 63)
    (6, 16, 56)
    (16, 6, 56)
    (7, 17, 16)
    (17, 7, 16)
    (7, 19, 43)
    (19, 7, 43)
    (8, 18, 67)
    (18, 8, 67)
    (8, 20, 7)
    (20, 8, 7)
    (9, 11, 5)
    (11, 9, 5)
    (9, 18, 28)
    (18, 9, 28)
    (10, 12, 41)
    (12, 10, 41)
    (10, 17, 24)
    (17, 10, 24)
    (11, 20, 5)
    (20, 11, 5)
    (13, 14, 85)
    (14, 13, 85)
    (13, 15, 45)
    (15, 13, 45)
    (12, 19, 65)
    (19, 12, 65)
    (14, 16, 32)
    (16, 14, 32)
    (15, 20, 19)
    (20, 15, 19)
    (16, 19, 21)
    (19, 16, 21)
    (17, 18, 56)
    (18, 17, 56);

param T_max := 1500;

param src := 1;
param dst := 16;

end;
